Measure,P1:max(Vout),P2:max(Vout_TVS),P3:max(Vd601),P4:max(Vd604),P5:max(Pout),P6:max(Ptvs),P7:max(Iout),P8:max(I_TVS),P9:wid@lv(Ptvs),P10:fall(Ptvs),P11:area(Ptvs),P12:area(Pout),
Unit,V,V,V,V,W,W,A,A,s,s,J,J,
value,163.0,163.7,82.6,81.6,39.74e+3,35.15e+3,254.9,230.0,17.3242e-6,9.4979e-6,411.083114e-3,493.467239e-3,
status,Valid.,Valid.,Valid.,Valid.,Valid.,Valid.,Valid.,Valid.,Parameter on falling edge.,Valid.,Valid.,Valid.,
