"Record Length",10002,"Points",-0.0001000348,-0.12
"Sample Interval",5e-08,s,-9.998481e-05,0.15
"Trigger Point",2000,"Samples",-9.993481e-05,-0.06
"Trigger Time",0.696159,s,-9.988481e-05,0.06
,,,-9.983481e-05,0.03
"Horizontal Offset",-0.000100035,s,-9.978481e-05,0.06
,,,-9.973481e-05,0
,,,-9.968481e-05,-0.03
,,,-9.963481e-05,0.09
,,,-9.958481e-05,0.03
,,,-9.953481e-05,0.12
,,,-9.948481e-05,0.09
,,,-9.943481e-05,0.03
,,,-9.938481e-05,0.15
,,,-9.933481e-05,0.18
,,,-9.928481e-05,0.09
,,,-9.923481e-05,0
,,,-9.918481e-05,0.12
,,,-9.913481e-05,0.09
,,,-9.908481e-05,0.21
,,,-9.903481e-05,0.06
,,,-9.898481e-05,0.06
,,,-9.893481e-05,0
,,,-9.888481e-05,0.06
,,,-9.883481e-05,-0.06
,,,-9.878481e-05,0
,,,-9.873481e-05,0.03
,,,-9.868481e-05,0.12
,,,-9.863481e-05,-0.12
,,,-9.858481e-05,0.12
,,,-9.853481e-05,0
,,,-9.848481e-05,0.09
,,,-9.843481e-05,0.06
,,,-9.838481e-05,0.21
,,,-9.833481e-05,0.15
,,,-9.828481e-05,-0.03
,,,-9.823481e-05,0.03
,,,-9.818481e-05,0.12
,,,-9.813481e-05,0.12
,,,-9.808481e-05,0.06
,,,-9.803481e-05,0.03
,,,-9.798481e-05,0.09
,,,-9.793481e-05,0.03
,,,-9.788481e-05,0.06
,,,-9.783481e-05,-0.09
,,,-9.778481e-05,0.09
,,,-9.773481e-05,0
,,,-9.768481e-05,-0.03
,,,-9.763481e-05,0.03
,,,-9.758481e-05,0.15
,,,-9.753481e-05,0.03
,,,-9.748481e-05,-0.15
,,,-9.743481e-05,0.03
,,,-9.738481e-05,0.15
,,,-9.733481e-05,-0.03
,,,-9.728481e-05,0.15
,,,-9.723481e-05,0.12
,,,-9.718481e-05,0.15
,,,-9.713481e-05,0.06
,,,-9.708481e-05,-0.03
,,,-9.703481e-05,0.06
,,,-9.698481e-05,0.15
,,,-9.693481e-05,-0.12
,,,-9.688481e-05,-0.03
,,,-9.683481e-05,0
,,,-9.678481e-05,0.21
,,,-9.673481e-05,-0.03
,,,-9.668481e-05,0.03
,,,-9.663481e-05,0
,,,-9.658481e-05,0.09
,,,-9.653481e-05,0.12
,,,-9.648481e-05,0.03
,,,-9.643481e-05,-0.03
,,,-9.638481e-05,0.18
,,,-9.633481e-05,0.15
,,,-9.628481e-05,0.15
,,,-9.623481e-05,0.06
,,,-9.618481e-05,0.06
,,,-9.613481e-05,0.03
,,,-9.608481e-05,0.18
,,,-9.603481e-05,0.03
,,,-9.598481e-05,0.06
